"ID","START","LEN","Entity","Sentence","URL","Annot1","Annot2","Annot3","Annot4","Annot5"
1,28,2,"Schmitt Pál","A magyarok tiszta, egyértelmû, vállalható, jól szerkesztett alkotmányt szeretnének, amely hosszú idõre, történelmi távlatokra rendezi közös dolgaikat, rögzíti alapjogaikat - mondta Schmitt Pál köztársasági elnök pénteken Budapesten Az alkotmányozás dilemmái címû konferencia megnyitó beszédében.","http://kecskemetitv.hu/hun/sa_kecskemet/i_belfold_3/i_schmitt_pal:_a_magyarok_egyertelmu_vallalhato_alko_78267/t_Schmitt%20Pál%20a%20magyarok%20egyértelmû,%20vállalható%20alkotmányt%20szeretnének/index.html",0,0,0,0,0
2,7,2,"Matolcsy György","A szóvivõ megerõsítette: a kabinet Matolcsy György nemzetgazdasági miniszter elõterjesztése alapján a pénteki tanácskozáson elsõ olvasatban megtárgyalta a strukturális reformokat.","http://mti.hu/article-proxy/2011/02/18/szijjarto-_nem_vonjak_meg_a_nyugdijasok_utazasi_kedvezmenyeit-532843",0,0,0,0,0
3,15,2,"Szijjártó Péter","A nyugdíjasok utazási kedvezményének megvonása biztosan nem lesz a strukturális reformok között - közölte Szijjártó Péter, a miniszterelnök szóvivõje a kormány pénteki ülése után az MTI-vel.","http://mti.hu/article-proxy/2011/02/18/szijjarto-_nem_vonjak_meg_a_nyugdijasok_utazasi_kedvezmenyeit-532843",0,0,0,0,0
4,18,2,"Szabó Attila","Itt találta el az a lövés, amellyel egy vadász vette célba - mondta el híradónk kérdésére Szabó Attila, a Menhely az Állatokért Alapítvány munkatársa.","http://kecskemetitv.hu/hun/sa_zuschlag_per_kecskemet/i_kecskemet_2/i_gazdaja_mellett_lottek_le_78337/t_Gazdája%20mellett%20lõtték%20le/index.html",0,0,0,0,0
5,12,2,"P. Zoltán","Egy csempész ismerõse szintén ,,cigiben utazó"" haragosa ellen P. Zoltán úgy szervezett meg rendõri rajtaütést annak jánkmajtisi házánál, hogy a baráti szállítókat szándékosan futni hagyta.","http://atv.hu/bunugy/20110223_felesegevel_egyutt_iteltek_el_a_volt_rendort",0,-1,-1,-1,-1
6,1,2,"Ádám Krisztina","Ádám Krisztina, a cirkusz ügyvezetõ igazgatója szerint akik ellátogatnak hozzájuk 2 órányi felhõtlen kikapcsolódásban lesz részük.","http://kecskemetitv.hu/hun/sa_kecskemet/i_kecskemet_2/i_visszatert_a_kis_teve_kecskemetre_78664/t_Visszatért%20a%20kis%20teve%20Kecskemétre/index.html",0,0,0,0,0
7,38,2,"Fábry Sándor",",,Kérem szépen, Andy Vajna egy magyar származású parókadíler, aki véletlenül találkozott Arnold Schwarzeneggerrel, és a legjobb beszerzése volt Dobó Kata, ami mind mûvészi, mind sportszakmai ízlésérõl tanúskodik - imitált öklendezést Fábry Sándor.","http://www.168ora.hu/itthon/fabry-andy-vajnat-alazta-a-shodwerben-70984.html",0,0,-1,-1,0
8,24,2,"Dobó Kata",",,Kérem szépen, Andy Vajna egy magyar származású parókadíler, aki véletlenül találkozott Arnold Schwarzeneggerrel, és a legjobb beszerzése volt Dobó Kata, ami mind mûvészi, mind sportszakmai ízlésérõl tanúskodik - imitált öklendezést Fábry Sándor.","http://www.168ora.hu/itthon/fabry-andy-vajnat-alazta-a-shodwerben-70984.html",0,-1,-1,1,1
9,16,2,"Arnold Schwarzeneggerrel",",,Kérem szépen, Andy Vajna egy magyar származású parókadíler, aki véletlenül találkozott Arnold Schwarzeneggerrel, és a legjobb beszerzése volt Dobó Kata, ami mind mûvészi, mind sportszakmai ízlésérõl tanúskodik - imitált öklendezést Fábry Sándor.","http://www.168ora.hu/itthon/fabry-andy-vajnat-alazta-a-shodwerben-70984.html",0,0,0,0,0
10,6,2,"Andy Vajna",",,Kérem szépen, Andy Vajna egy magyar származású parókadíler, aki véletlenül találkozott Arnold Schwarzeneggerrel, és a legjobb beszerzése volt Dobó Kata, ami mind mûvészi, mind sportszakmai ízlésérõl tanúskodik - imitált öklendezést Fábry Sándor.","http://www.168ora.hu/itthon/fabry-andy-vajnat-alazta-a-shodwerben-70984.html",-1,-1,-1,-1,-1
12,1,2,"Vágó Gábor","Vágó Gábor országgyûlési képviselõ közölte, az LMP minden közösségi teret meg akar védeni, és ehhez minden politikai eszközt fel kíván használni.","http://hvg.hu/itthon/20110228_terezvaros_tuzrakter_bezaras",0,0,0,0,0
